id,codes
1235,YUM
1236,YVR
1237,YWG
1238,YXE
1239,YXH
1240,YXU
1241,YXX
1242,YXY
1243,YYC
1244,YYD
1245,YYJ
1246,YYT
1247,YYZ
1248,YZF
1249,ZAD
1250,ZAG
1251,ZAZ
1252,ZCL
1253,ZIA
1254,ZIH
1255,ZLO
1256,ZQN
1257,ZRH
